fecha,hora,seleccion_A,seleccion_B
2026-06-11,14:00,MEX,ZAF
2026-06-11,21:00,KOR,CZE
2026-06-12,14:00,CAN,BIH
2026-06-12,20:00,USA,PAR
2026-06-13,14:00,QAT,SUI
2026-06-13,17:00,BRA,MAR
2026-06-13,20:00,HAI,SCO
2026-06-13,23:00,AUS,TUR
2026-06-14,12:00,GER,CUW
2026-06-14,15:00,NED,JPN
2026-06-14,18:00,CIV,ECU
2026-06-14,21:00,SWE,TUN
2026-06-15,11:00,ESP,CPV
2026-06-15,14:00,BEL,EGY
2026-06-15,17:00,KSA,URU
2026-06-15,20:00,IRN,NZL
2026-06-16,14:00,FRA,SEN
2026-06-16,17:00,IRQ,NOR
2026-06-16,20:00,ARG,ALG
2026-06-16,23:00,AUT,JOR
2026-06-17,12:00,POR,COD
2026-06-17,15:00,ENG,CRO
2026-06-17,18:00,GHA,PAN
2026-06-17,21:00,UZB,COL
2026-06-18,11:00,CZE,ZAF
2026-06-18,14:00,SUI,BIH
2026-06-18,17:00,CAN,QAT
2026-06-18,20:00,MEX,KOR
2026-06-19,14:00,USA,AUS
2026-06-19,17:00,SCO,MAR
2026-06-19,19:30,BRA,HAI
2026-06-19,22:00,TUR,PAR
2026-06-20,12:00,NED,SWE
2026-06-20,15:00,GER,CIV
2026-06-20,19:00,ECU,CUW
2026-06-20,23:00,TUN,JPN
2026-06-21,11:00,ESP,KSA
2026-06-21,14:00,BEL,IRN
2026-06-21,17:00,URU,CPV
2026-06-21,20:00,NZL,EGY
2026-06-22,12:00,ARG,AUT
2026-06-22,16:00,FRA,IRQ
2026-06-22,19:00,NOR,SEN
2026-06-22,22:00,JOR,ALG
2026-06-23,12:00,POR,UZB
2026-06-23,15:00,ENG,GHA
2026-06-23,18:00,PAN,CRO
2026-06-23,21:00,COL,COD
2026-06-24,14:00,SUI,CAN
2026-06-24,14:00,BIH,QAT
2026-06-24,17:00,SCO,BRA
2026-06-24,17:00,MAR,HAI
2026-06-24,20:00,CZE,MEX
2026-06-24,20:00,ZAF,KOR
2026-06-25,15:00,ECU,GER
2026-06-25,15:00,CUW,CIV
2026-06-25,18:00,TUN,NED
2026-06-25,18:00,JPN,SWE
2026-06-25,21:00,TUR,USA
2026-06-25,21:00,PAR,AUS
2026-06-26,14:00,NOR,FRA
2026-06-26,14:00,SEN,IRQ
2026-06-26,19:00,URU,ESP
2026-06-26,19:00,CPV,KSA
2026-06-26,22:00,NZL,BEL
2026-06-26,22:00,EGY,IRN
2026-06-27,16:00,PAN,ENG
2026-06-27,16:00,CRO,GHA
2026-06-27,18:30,COL,POR
2026-06-27,18:30,COD,UZB
2026-06-27,21:00,JOR,ARG
2026-06-27,21:00,ALG,AUT
