country,fifa_code,elo
Spain,ESP,2157
Argentina,ARG,2115
France,FRA,2063
England,ENG,2024
Brazil,BRA,1991
Portugal,POR,1989
Colombia,COL,1982
Netherlands,NED,1948
Ecuador,ECU,1938
Germany,GER,1932
GANANorway,NOR,1914
Croatia,CRO,1912
Turkey,TUR,1911
Japan,JPN,1906
Belgium,BEL,1894
Uruguay,URU,1892
Switzerland,SUI,1891
Mexico,MEX,1881
Denmark,DEN,1869
Italy,ITA,1869
Senegal,SEN,1860
Paraguay,PAR,1834
Austria,AUT,1830
Morocco,MAR,1827
Canada,CAN,1788
Scotland,SCO,1782
Ukraine,UKR,1780
Australia,AUS,1777
Algeria,ALG,1772
Iran,IRN,1772
Russia,RUS,1772
Nigeria,NGA,1767
South Korea,KOR,1758
Greece,GRE,1744
Czechia,CZE,1740
Serbia,SRB,1734
Venezuela,VEN,1733
Panama,PAN,1730
United States,USA,1726
Chile,CHI,1717
Kosovo,KOS,1715
Uzbekistan,UZB,1714
Sweden,SWE,1712
Hungary,HUN,1710
Poland,POL,1710
Peru,PER,1700
Ireland,IRL,1699
Egypt,EGY,1696
Ivory Coast,CIV,1695
Wales,WAL,1682
Slovenia,SVN,1682
Jordan,JOR,1680
Slovakia,SVK,1667
Georgia,GEO,1654
DR Congo,COD,1652
Israel,ISR,1647
Romania,ROU,1639
Tunisia,TUN,1628
Bolivia,BOL,1621
Albania,ALB,1616
Cameroon,CMR,1614
Costa Rica,CRC,1608
Iraq,IRQ,1607
Northern Ireland,NIR,1605
Bosnia/Herzeg,BIH,1595
North Macedonia,MKD,1589
Mali,MLI,1588
Cape Verde,CPV,1578
Saudi Arabia,KSA,1576
Honduras,HON,1570
Iceland,ISL,1568
New Zealand,NZL,1562
Haiti,HAI,1548
Angola,ANG,1542
UAE,UAE,1540
Finland,FIN,1536
Curacao,CUW,1434
Ghana,GHA,1510
Qatar,QAT,1421
South Africa,RSA,1511
